Country,year_int,REER,ccode,NOMLRATE,log_RPUBINV,log_RGDP,growth_RGDP,UNRATE,PDEBT,INVGDP,OUTPUTGAP,PRIMARYBAL,PUBINVRATIO,forecasterror,INVGDP_diff,Country Name,CC_EST,GE_EST,PV_EST,RL_EST,RQ_EST,VA_EST
Portugal,2014,102.97213,PRT,3.75,1.257605725,5.173804616,0.007386539,14.6,132.8386,13.11907901,-3.2825441,-2.5504851,1.9916661,-0.470486296,0.46843806,Portugal,0.909372627735138,0.983170330524445,0.8062744140625,1.11946487426758,0.745933353900909,1.10743820667267
Portugal,2015,100.0,PRT,2.42,1.396888049,5.189577258,0.015772642,13.0,131.4134,13.4005843,-2.0874912,0.0595342,2.2534918,0.156811912,0.28150529,Portugal,0.892139911651611,1.15793454647064,0.904212951660156,1.10189425945282,0.941803693771362,1.12872004508972
Portugal,2016,101.63304,PRT,3.17,1.0428854,5.209420791,0.019843533,11.5,131.5827,14.17613295,-0.9690098,2.1521536,1.5505893,-0.2990035,0.77554865,Portugal,0.858934998512268,1.14832854270935,0.958625793457031,1.04333281517029,0.832201719284058,1.15758585929871
Portugal,2017,102.32894,PRT,3.05,1.218414315,5.242029998,0.032609208,9.2,126.4261,15.29684808,0.842469,0.7313213,1.7888166,0.1413774,1.12071513,Portugal,0.821428775787354,1.2940491437912,1.10616970062256,1.10397756099701,0.897149801254272,1.19824862480164
Portugal,2018,103.33061,PRT,1.84,1.282332772,5.271067578,0.02903758,7.2,121.5919,15.97647193,2.1176208,2.8941795,1.8523139,-0.1821216,0.67962385,Portugal,0.806315660476685,1.18115174770355,1.11530721187592,1.1079808473587,0.874975383281708,1.17852699756622
Portugal,2019,101.43442,PRT,0.76,1.30666554,5.298154003,0.027086425,6.6,116.5451,16.58560613,3.1248711,3.0192098,1.8472198,-0.1035714,0.6091342,Portugal,0.745498478412628,1.13418579101562,1.05175185203552,1.10635912418365,0.957910358905792,1.19454848766327
Portugal,2020,102.19528,PRT,0.41,1.444955527,5.212545626,-0.085608377,7.1,134.0964,17.1855325,-6.6126126,-2.9183311,2.3107683,-0.173263,0.59992637,Portugal,0.72114634513855,0.979601144790649,1.00873112678528,1.15668058395386,0.82206916809082,1.25530016422272
Portugal,2021,100.45612,PRT,0.3,1.609935623,5.266643477,0.054097851,6.7,123.8782,17.92123839,-3.3425275,-0.4615376,2.5817374,0.1089935,0.73570589,Portugal,0.741993844509125,0.952431321144104,0.937390148639679,1.10502743721008,0.724131643772125,1.24631035327911
Portugal,2022,98.55962,PRT,2.17,1.596155248,5.334169659,0.067526182,6.2,111.2317,18.19310854,0.9867213,1.5784333,2.3801317,-0.1971213,0.27187015,Portugal,0.728919625282288,1.00113356113434,0.795802593231201,1.11221826076508,0.762673318386078,1.25769352912903
Portugal,2023,100.77385,PRT,3.24,1.709561549,5.359118425,0.024948766,6.5,97.9297,17.51376577,1.0094545,3.2810075,2.6002646,-0.109823,-0.67934277,Portugal,0.696312069892883,0.987550020217896,0.712578117847443,1.06766510009766,0.755356550216675,1.21128296852112
Romania,2000,82.54787,ROU,,1.159803937,4.526177179,0.024313427,8.9,22.4866,15.66836555,-2.1763287,-0.6466922,3.4514567,,,Romania,-0.510619759559631,-0.262158989906311,-0.379039525985718,-0.18183496594429,-0.104750372469425,0.469307065010071
Romania,2001,83.70778,ROU,,0.982861083,4.577041927,0.050864748,8.3,25.8694,18.29138571,0.4251508,-0.0112444,2.7483274,,2.62302016,,-0.24093941683796302,-0.14657008129341353,0.22639643282375543,0.14129246530038395,0.40314105576412235,0.4644079127094962
Romania,2002,83.78222,ROU,,1.202136097,4.632504523,0.055462596,10.5,24.8208,18.22620656,2.8037296,0.5236042,3.2375067,,-0.06517915,Romania,-0.440713196992874,-0.196587815880775,0.464840322732925,-0.265604585409164,0.0457017906010151,0.386146128177643
Romania,2003,81.51391,ROU,,1.336242512,4.65564666,0.023142137,8.5,22.1093,19.12270026,0.9902327,0.2198339,3.6174379,,0.8964937,Romania,-0.410669893026352,-0.283442199230194,0.320030122995377,-0.210054367780685,-0.0518503412604332,0.29921892285347
Romania,2004,83.25166,ROU,,1.189345874,4.754842523,0.099195863,9.9,18.9452,19.46699226,5.0578645,0.3719426,2.8282922,,0.344292,Romania,-0.322501838207245,-0.17491602897644,0.0593486130237579,-0.186782702803612,0.180780634284019,0.367766201496124
Romania,2005,97.87587,ROU,,1.245612025,4.800466671,0.045624148,8.8,15.9051,20.50439261,3.7194017,0.4350525,2.8585532,,1.03740035,Romania,-0.260543018579483,-0.289697855710983,0.0856026485562325,-0.154217436909676,0.242886126041412,0.408908843994141
Romania,2006,104.44408,ROU,7.23,1.932017112,4.877694533,0.077227862,8.9,12.4236,21.35949884,5.0107526,-1.2989749,5.2566412,2.038056136,0.85510623,Romania,-0.209158509969711,-0.189176306128502,0.148430079221725,-0.134708419442177,0.441958904266357,0.51797342300415
Romania,2008,107.16256,ROU,7.7,2.299351598,5.036530298,0.088994507,7.1,12.3316,30.81178541,6.8610218,-4.6896679,6.475281,0.868215148,9.45228657,Romania,-0.18621614575386,-0.357895225286484,0.180609092116356,-0.0155702503398061,0.597521305084229,0.514151155948639
Romania,2009,99.29171,ROU,9.69,2.125184265,4.97978309,-0.056747207,8.4,21.7739,20.24616852,-1.4100874,-7.6177259,5.7578963,0.286911448,-10.56561689,Romania,-0.3098004758358,-0.363970696926117,0.359366297721863,0.053940374404192,0.617714941501617,0.464297264814377
Romania,2010,100.85594,ROU,7.34,2.056507396,4.939941972,-0.039841119,9.0,28.9614,20.0770265,-5.7578083,-5.3056217,5.5942344,0.855745738,-0.16914202,Romania,-0.352394610643387,-0.112342447042465,0.273600399494171,0.106409564614296,0.672567009925842,0.432130426168442
Romania,2011,103.72017,ROU,7.29,2.016677612,4.983916665,0.043974693,9.1,32.3448,21.62372129,-2.4288319,-3.6255162,5.1445162,-0.071028895,1.54669479,Romania,-0.333498507738113,-0.194315671920776,0.186090663075447,0.104707606136799,0.687459826469421,0.376137167215347
Romania,2012,97.37585,ROU,6.68,1.920408562,5.002773658,0.018856993,8.7,35.3745,22.42325964,-1.6605015,-1.7949672,4.5850654,-0.259574066,0.79953835,Romania,-0.381443470716476,-0.169484630227089,0.0823415592312813,0.0929005369544029,0.564533114433289,0.318529605865479
Romania,2013,101.28805,ROU,5.41,1.888408282,5.005557677,0.002784019,9.0,37.7813,19.97680085,-2.5055688,-0.3759139,4.428324,-0.070597415,-2.44645879,Romania,-0.301038712263107,0.134710595011711,0.179133072495461,0.190215259790421,0.634414732456207,0.311483293771744
Romania,2014,102.66319,ROU,4.49,1.941794096,5.045892685,0.040335009,8.6,39.1367,20.12616257,-0.7345152,0.4308684,4.4864966,-0.062192552,0.14936172,Romania,-0.224212571978569,0.224672213196754,0.0491361282765865,0.242155745625496,0.600805342197418,0.428103059530258
Romania,2015,100.0,ROU,3.47,2.118406212,5.076975317,0.031082631,8.4,37.7113,19.73286293,-0.9465482,0.9483283,5.1893162,0.268094173,-0.39329964,Romania,-0.170948252081871,0.0987904593348503,0.181799337267876,0.204882144927979,0.568357586860657,0.486170291900635
Romania,2016,98.74988,ROU,3.32,1.786452134,5.105173435,0.028198119,7.2,37.8339,19.41795097,-2.0009502,-1.2012831,3.6199105,-0.1245052,-0.31491196,Romania,-0.178657218813896,-0.0682618692517281,0.266823202371597,0.45245349407196,0.566330015659332,0.541079998016357
Romania,2017,97.04271,ROU,3.96,1.540095768,5.183942269,0.078768833,6.1,35.2623,20.26253812,0.5085411,-1.4361325,2.6151552,-0.4178381,0.84458715,Romania,-0.141483217477798,-0.0847913026809692,0.0485141687095165,0.436648339033127,0.433020144701004,0.598848581314087
Romania,2018,99.28147,ROU,4.69,1.555276322,5.243351542,0.059409274,5.3,34.3755,18.56284054,1.41956,-1.847883,2.5020103,-0.3432104,-1.69969758,Romania,-0.226882994174957,-0.177138328552246,0.0363187454640865,0.367548227310181,0.406415402889252,0.533204734325409
Romania,2019,99.02395,ROU,4.54,1.888599907,5.281834066,0.038482523,4.9,34.9622,19.75150946,0.8098504,-3.2935192,3.3599834,0.3556666,1.18866892,Romania,-0.236893355846405,-0.215103924274445,0.542255997657776,0.415343642234802,0.443314433097839,0.515233874320984
Romania,2020,100.38762,ROU,3.89,2.123389505,5.244398222,-0.037435844,6.1,46.6116,18.91922932,-5.7243721,-7.9618324,4.4112662,0.0457998,-0.83228014,Romania,-0.0985997840762138,-0.286944448947906,0.508950412273407,0.368689924478531,0.346217542886734,0.585118234157562
Romania,2021,100.34536,ROU,3.62,2.093319685,5.298372237,0.053974015,5.6,48.339,20.31848582,-2.5817519,-5.7974823,4.0556753,-1.4393411,1.3992565,Romania,-0.0613786391913891,-0.163359016180038,0.581789910793304,0.38048443198204,0.29227140545845,0.593723952770233
Romania,2022,101.57791,ROU,7.48,2.206278194,5.337259462,0.038887225,5.6,47.896,20.66872986,-0.715678,-5.0029148,4.3674907,-0.981322,0.35024404,Romania,0.0164916589856148,-0.0004623509012162,0.431136310100555,0.403401881456375,0.364533066749573,0.566261529922485
Romania,2023,107.17542,ROU,6.71,2.439213013,5.361017505,0.023758043,5.6,48.8856,21.59495991,-1.1572111,-4.6270802,5.3836455,0.6470804,0.92623005,Romania,0.0404953435063362,-0.0926659479737282,0.373643964529037,0.437425792217255,0.318900614976883,0.503180325031281
Slovakia,2000,59.13756,SVK,8.33,0.493211598,3.777302716,0.007860472,18.8,50.4982,23.16018884,-2.3677529,-8.6434569,3.7474685,,,Slovak Republic,0.223054468631744,0.673051953315735,0.663586676120758,0.299946576356888,0.577808380126953,0.848681509494781
Slovakia,2001,60.04958,SVK,8.04,0.592422754,3.806131656,0.02882894,19.3,51.1993,25.72861374,-3.2468851,-3.7484701,4.0207151,,2.5684249,,0.21917504190721296,0.6773755834861236,0.8298325863751501,0.5057275092059916,0.9100171083753762,0.9204347160729495
Slovakia,2002,61.54594,SVK,6.94,0.670846501,3.84935929,0.043227634,18.7,45.367,24.29230845,-3.0053962,-4.7855979,4.1647606,,-1.43630529,Slovak Republic,-0.050633929669857,0.540845692157745,0.940030038356781,0.285690128803253,0.90390557050705,0.976482391357422
Slovakia,2003,69.53405,SVK,4.99,0.468208467,3.896783547,0.047424257,17.6,43.5237,22.06733035,-2.4264296,0.253331,3.2433159,,-2.2249781,Slovak Republic,0.280685245990753,0.668065965175629,0.947933495044708,0.331788569688797,0.913023710250854,0.931504726409912
Slovakia,2004,76.34789,SVK,5.03,0.447054397,3.949274942,0.052491395,18.2,41.8769,21.70861325,-1.2401347,-0.1628376,3.0130383,-0.37114684,-0.3587171,Slovak Republic,0.337021231651306,0.817942023277283,0.593536019325256,0.464085936546326,1.08342254161835,0.947524964809418
Slovakia,2005,78.2171,SVK,3.52,0.665279996,4.012109701,0.062834758,16.3,34.8768,23.57831482,-0.5787162,-1.1184285,3.519579,-0.506285474,1.86970157,Slovak Republic,0.451420694589615,0.877272307872772,0.898072719573975,0.490570604801178,1.12677228450775,0.89995676279068
