Country Name,Country Code,year_int,CC_EST,GE_EST,PV_EST,RL_EST,RQ_EST,VA_EST
Estonia,EST,2005,0.994831264019012,0.937840044498444,0.605274677276611,0.903708636760712,1.24708712100983,0.992168545722961
Estonia,EST,2006,1.0123438835144,1.14691519737244,0.736678242683411,1.12973201274872,1.29370141029358,1.06822168827057
Estonia,EST,2007,0.967807710170746,1.00763607025146,0.634109556674957,1.12227547168732,1.32278323173523,1.07301092147827
Estonia,EST,2008,0.952435076236725,1.15763688087463,0.571973562240601,1.15543973445892,1.38836634159088,1.09165287017822
Estonia,EST,2009,1.00068259239197,1.00224792957306,0.567619025707245,1.12465858459473,1.39269268512726,1.08552134037018
Estonia,EST,2010,0.989536285400391,1.07666647434235,0.661366999149323,1.15312993526459,1.38820207118988,1.10565173625946
Estonia,EST,2011,1.04544830322266,1.06727397441864,0.611041307449341,1.17581498622894,1.38531708717346,1.13372588157654
Estonia,EST,2012,1.08829832077026,0.945922076702118,0.636465191841125,1.15094149112701,1.4102840423584,1.11192464828491
Estonia,EST,2013,1.18144452571869,0.966788172721863,0.748215436935425,1.19137024879456,1.4392409324646,1.11682975292206
Estonia,EST,2014,1.29877054691315,1.01121234893799,0.780257880687714,1.36985957622528,1.67060923576355,1.17029809951782
Estonia,EST,2015,1.25537073612213,1.03593826293945,0.613857269287109,1.30050790309906,1.65832471847534,1.18691825866699
Estonia,EST,2016,1.23109316825867,1.05459797382355,0.662796258926392,1.19259226322174,1.68796372413635,1.20819759368896
Estonia,EST,2017,1.20263087749481,1.07229030132294,0.642370760440826,1.24847757816315,1.63404095172882,1.21454405784607
Estonia,EST,2018,1.46850371360779,1.15055811405182,0.580415546894073,1.20345735549927,1.54483294487,1.19020283222198
Estonia,EST,2019,1.52524757385254,1.13976681232452,0.630197763442993,1.2427259683609,1.58012461662292,1.17930448055267
Estonia,EST,2020,1.58082056045532,1.29900670051575,0.709816992282867,1.33508813381195,1.52953481674194,1.16718208789825
Estonia,EST,2021,1.50660848617554,1.34329342842102,0.748589515686035,1.38935804367065,1.54799437522888,1.17938566207886
Estonia,EST,2022,1.54471278190613,1.34263217449188,0.727880895137787,1.42628395557404,1.5589644908905,1.20195424556732
Estonia,EST,2023,1.53812229633331,1.2634699344635,0.660533905029297,1.42638897895813,1.42964351177216,1.21992552280426
Finland,FIN,2000,2.36823558807373,2.02971863746643,1.72011208534241,1.95340764522552,1.78254592418671,1.59303331375122
Finland,FIN,2002,2.36900973320007,2.09640264511108,1.7531840801239,1.90388894081116,1.81565344333649,1.55290365219116
Finland,FIN,2003,2.3741238117218,2.19400310516357,1.6870174407959,1.95863425731659,1.82632374763489,1.57245707511902
Finland,FIN,2004,2.41011142730713,2.14761972427368,1.61962687969208,1.93988859653473,1.78043079376221,1.78360843658447
Finland,FIN,2005,2.3147189617157,2.12453174591064,1.59494686126709,1.95094156265259,1.66158723831177,1.68709695339203
Finland,FIN,2006,2.45411086082458,2.1676173210144,1.50111103057861,1.95951342582703,1.60181975364685,1.4940721988678
Finland,FIN,2007,2.38947749137878,1.96812081336975,1.48869705200195,1.89684998989105,1.54888129234314,1.4602267742157
Finland,FIN,2008,2.32084584236145,2.04124021530151,1.44586837291718,1.91038119792938,1.61093139648438,1.46308124065399
Finland,FIN,2009,2.24071860313416,2.22546005249023,1.45967149734497,1.9625688791275,1.80945932865143,1.46526706218719
Finland,FIN,2010,2.15166974067688,2.22388696670532,1.42360687255859,1.96125268936157,1.87310171127319,1.48671269416809
Finland,FIN,2011,2.1919150352478,2.23519229888916,1.39347100257874,1.93953800201416,1.81332981586456,1.50755143165588
Finland,FIN,2012,2.22684669494629,2.2103111743927,1.40076518058777,1.94403350353241,1.8215891122818,1.60069715976715
Finland,FIN,2013,2.20024275779724,2.18062210083008,1.38517248630524,1.95568263530731,1.84167218208313,1.5736231803894
Finland,FIN,2014,2.15926671028137,2.02504563331604,1.28219723701477,2.1247615814209,1.87765765190125,1.54184234142303
Finland,FIN,2015,2.2156457901001,1.84316194057465,1.02799820899963,2.05303645133972,1.8257349729538,1.54369699954987
Finland,FIN,2016,2.18630695343018,1.84161901473999,0.982591867446899,2.00771570205688,1.80655252933502,1.53210496902466
Finland,FIN,2017,2.16233658790588,1.9772777557373,1.06380820274353,2.02406764030457,1.81227469444275,1.5595486164093
Finland,FIN,2018,2.17175912857056,2.01387786865234,0.891889691352844,2.03439903259277,1.77911019325256,1.58935248851776
Finland,FIN,2019,2.11393284797668,1.97280502319336,0.835258841514587,2.01262903213501,1.84047222137451,1.56299781799316
Finland,FIN,2020,2.17043972015381,1.90100395679474,0.981825113296509,2.01859211921692,1.85089826583862,1.6095118522644
Finland,FIN,2021,2.23784065246582,1.91831088066101,0.963275969028473,2.01347613334656,1.88712561130524,1.60936939716339
Finland,FIN,2022,2.24686503410339,1.75458240509033,0.894830107688904,1.95789980888367,1.77915287017822,1.60676980018616
Finland,FIN,2023,2.22151660919189,1.73860657215118,0.713986694812775,1.96704590320587,1.76514935493469,1.63263607025146
France,FRA,2000,1.32172358036041,1.63705730438232,0.785089075565338,1.43230748176575,0.914936780929565,1.18298661708832
France,FRA,2002,1.19158518314362,1.54408168792725,0.924183249473572,1.21287262439728,0.975888848304749,1.15434229373932
France,FRA,2003,1.30575609207153,1.6510945558548,0.179551064968109,1.33328890800476,1.21546447277069,1.12266278266907
France,FRA,2004,1.31116378307343,1.75563025474548,0.345115303993225,1.42519283294678,1.21646451950073,1.45645833015442
France,FRA,2005,1.3575382232666,1.66645479202271,0.399723917245865,1.40783047676086,1.24496161937714,1.476771235466
France,FRA,2006,1.45506083965302,1.62847626209259,0.595505774021149,1.46217286586761,1.23982167243958,1.29872286319733
France,FRA,2007,1.45600175857544,1.46457493305206,0.563000798225403,1.45637440681458,1.28756642341614,1.2597668170929
France,FRA,2008,1.39503479003906,1.57403433322906,0.543759167194366,1.49627375602722,1.28425264358521,1.30479431152344
France,FRA,2009,1.4299693107605,1.47705447673798,0.512012898921967,1.44575703144073,1.21470284461975,1.24453508853912
France,FRA,2010,1.48775613307953,1.46266102790833,0.681087553501129,1.49973154067993,1.31016075611115,1.20285654067993
France,FRA,2011,1.53777325153351,1.39230680465698,0.602992832660675,1.42973482608795,1.15604257583618,1.17066836357117
France,FRA,2012,1.4719694852829,1.37338125705719,0.554941534996033,1.43693244457245,1.12417411804199,1.23810577392578
France,FRA,2013,1.30433368682861,1.48205244541168,0.448744118213654,1.40236282348633,1.14989483356476,1.21920275688171
France,FRA,2014,1.2879855632782,1.41287088394165,0.300568491220474,1.45350301265717,1.07406842708588,1.21813237667084
France,FRA,2015,1.24783480167389,1.41732227802277,0.0977598056197166,1.36679553985596,1.11580765247345,1.20674192905426
France,FRA,2016,1.32828891277313,1.38062357902527,-0.106349594891071,1.35156190395355,1.05861842632294,1.13691318035126
France,FRA,2017,1.22452700138092,1.30890679359436,0.265701532363892,1.39806187152863,1.14648473262787,1.15271818637848
France,FRA,2018,1.28155159950256,1.41971850395203,0.013894104398787,1.39622473716736,1.1474986076355,1.1575254201889
France,FRA,2019,1.24806225299835,1.33822000026703,0.271341234445572,1.37148487567902,1.43153774738312,1.11500012874603
France,FRA,2020,1.12261998653412,1.2042510509491,0.280992835760117,1.29872727394104,1.18946194648743,1.06575298309326
France,FRA,2021,1.28193628787994,1.22854030132294,0.325612366199493,1.25916755199432,1.23037326335907,1.10422718524933
France,FRA,2022,1.25943613052368,1.16521215438843,0.393339216709137,1.18058335781097,1.1889523267746,1.11015677452087
France,FRA,2023,1.18482184410095,1.14462625980377,0.343697965145111,1.18057084083557,1.15350544452667,1.15460133552551
Germany,DEU,2000,1.80154538154602,1.80453169345856,1.41133570671082,1.60941886901855,1.45614349842072,1.31480205059052
Germany,DEU,2002,1.88874363899231,1.66001808643341,1.09601747989655,1.63438987731934,1.51094317436218,1.41403138637543
Germany,DEU,2003,1.87576138973236,1.35740518569946,0.577859222888947,1.6375846862793,1.50187790393829,1.41355431079865
Germany,DEU,2004,1.84006547927856,1.46714746952057,0.638884365558624,1.62020444869995,1.46957302093506,1.4960401058197
Germany,DEU,2005,1.87544226646423,1.5005247592926,0.888915359973907,1.65219819545746,1.51510655879974,1.48583388328552
Germany,DEU,2006,1.79364252090454,1.64597606658936,1.02506959438324,1.77008616924286,1.56890881061554,1.3652309179306
Germany,DEU,2007,1.72651934623718,1.63131237030029,0.995823800563812,1.75559067726135,1.61616551876068,1.33647847175598
Germany,DEU,2008,1.74589586257935,1.51405537128448,0.943830788135529,1.73402619361877,1.48888456821442,1.33677780628204
Germany,DEU,2009,1.74621033668518,1.57510924339294,0.859902501106262,1.64867222309113,1.51645278930664,1.33496069908142
Germany,DEU,2010,1.76642882823944,1.51569378376007,0.796834468841553,1.63750469684601,1.57068610191345,1.29778325557709
Germany,DEU,2011,1.74194991588593,1.50013899803162,0.842218458652496,1.61821925640106,1.54886770248413,1.34921073913574
Germany,DEU,2012,1.81763017177582,1.53097581863403,0.775621294975281,1.66923201084137,1.52908289432526,1.39373803138733
Germany,DEU,2013,1.79800081253052,1.51041460037231,0.92798388004303,1.64198386669159,1.54434037208557,1.40613043308258
Germany,DEU,2014,1.81229484081268,1.6648246049881,0.925186455249786,1.85020470619202,1.69703912734985,1.43629622459412
Germany,DEU,2015,1.7758332490921,1.65639758110046,0.687514960765839,1.75914001464844,1.71191465854645,1.42213714122772
Germany,DEU,2016,1.78129398822784,1.66018795967102,0.667541146278381,1.58330154418945,1.8065539598465,1.3646674156189
Germany,DEU,2017,1.79697561264038,1.61311173439026,0.574381291866302,1.5740704536438,1.77526342868805,1.43248081207275
Germany,DEU,2018,1.89839863777161,1.52356374263763,0.577865242958069,1.59137535095215,1.75632679462433,1.44311714172363
Germany,DEU,2019,1.86510336399078,1.49534583091736,0.548539876937866,1.5813193321228,1.71493887901306,1.35402822494507
Germany,DEU,2020,1.82534158229828,1.31368815898895,0.645049154758453,1.52012777328491,1.57793474197388,1.37390911579132
Germany,DEU,2021,1.7829247713089,1.28911292552948,0.725788176059723,1.5718047618866,1.62516117095947,1.41956698894501
Germany,DEU,2022,1.81836342811584,1.28929960727692,0.628491878509521,1.53199517726898,1.52229499816895,1.41448700428009
Germany,DEU,2023,1.66416621208191,1.18541669845581,0.586989283561707,1.55120778083801,1.45697498321533,1.46138572692871
Greece,GRC,2000,0.631434977054596,0.587037920951843,0.808356404304504,0.861044526100159,0.736641585826874,1.01306200027466
Greece,GRC,2002,0.403180629014969,0.776045680046082,0.872591853141785,0.723845243453979,0.946032047271729,1.0480192899704
Greece,GRC,2003,0.363324075937271,0.703846335411072,0.477636367082596,0.789709985256195,0.987252712249756,1.15667390823364
Greece,GRC,2004,0.450190424919128,0.785955905914307,0.489336252212524,0.89913421869278,0.836224496364594,1.19141495227814
Greece,GRC,2005,0.351383656263351,0.709748506546021,0.50652414560318,0.784953773021698,0.958650231361389,1.09756934642792
Greece,GRC,2006,0.357532441616058,0.629231572151184,0.630432784557343,0.863401472568512,0.857742309570312,0.965482771396637
Greece,GRC,2007,0.261930704116821,0.551828980445862,0.523507833480835,0.859287738800049,0.894383370876312,0.983873903751373
